SteamID,ETF2L Sixes, ETF2L Highlander
76561198413604994,1,1
76561198856538058,2,1
76561198357313490,1,1
76561198294278902,1,1
76561198385624950,1,1
76561198303081758,1,1
76561199134462656,1,1
76561198885528098,1,1
76561198970759258,1,1
76561198374236066,1,1
76561198346478792,1,1
76561198979494052,1,1
76561198178457461,1,1
76561199112655950,1,1
76561198939558155,1,1
76561198299604510,1,1
76561198180890982,1,1
76561198364820146,1,1
76561198215473168,1,1
76561198046899720,9,7
76561198417463803,1,1
76561198404434151,1,1
76561198449656454,1,1
76561199004097235,1,1
76561199030343810,1,1
76561198208382525,2,1
76561198313364985,1,1
76561199033601492,1,1
76561199573612789,1,1
76561198795689434,1,1
76561198085769348,1,1
76561198026080017,1,1
76561198302366619,1,1
76561198078777084,1,1
76561198122318259,1,1
